PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT,Season,Team_Wins,Draft_Pick,Season_End_Year,winner
101127,Jarrett Jack,Jarrett,1610612757,POR,22.0,79,20,59,0.253,20.2,2.4,5.4,0.442,0.3,1.0,0.263,1.6,2.0,0.8,0.2,1.8,2.0,2.8,1.3,0.5,0.0,0.3,1.7,1.6,6.7,-4.7,13.6,0,0,12.8,8,31,1,78,15,19,19,34,26,27,33,11,11,22,66,20,34,7,15,23,60,39,26,14,21,80,17,23,2,20,1,2005-06,,,2006,0
101131,Jason Maxiell,Jason,1610612765,DET,23.0,26,20,6,0.769,6.1,0.9,2.1,0.426,0.0,0.0,0.0,0.5,1.6,0.333,0.5,0.6,1.1,0.1,0.4,0.2,0.2,0.0,0.5,0.9,2.3,-3.8,4.4,1,0,4.2,47,31,68,7,68,56,59,37,53,61,53,48,20,73,41,66,62,76,61,63,34,77,72,36,52,77,65,15,2,64,1,2005-06,,,2006,0
101121,Joey Graham,Joey,1610612761,TOR,24.0,80,26,54,0.325,19.8,2.5,5.2,0.478,0.4,1.1,0.333,1.4,1.7,0.812,0.7,2.3,3.1,0.8,1.2,0.5,0.2,0.3,2.9,1.4,6.7,-2.2,12.2,0,0,12.1,3,17,3,65,16,18,20,19,21,23,18,16,19,19,27,14,16,32,18,26,37,26,7,17,20,72,25,23,2,22,1,2005-06,,,2006,0
101130,Johan Petro,Johan,1610612760,SEA,20.0,68,26,42,0.382,18.9,2.3,4.4,0.51,0.0,0.0,0.0,0.7,1.1,0.627,1.6,2.8,4.4,0.2,0.9,0.4,0.8,0.4,3.1,1.0,5.2,-2.2,13.2,2,0,12.0,16,17,17,57,19,23,26,12,53,61,53,38,38,58,9,12,11,67,28,34,4,24,2,29,27,71,19,13,2,23,1,2005-06,,,2006,0
101249,John Lucas III,John,1610612745,HOU,23.0,13,4,9,0.308,8.2,1.1,2.8,0.389,0.2,0.7,0.222,0.0,0.0,0.0,0.2,0.2,0.4,0.9,0.5,0.4,0.0,0.2,0.5,0.1,2.3,-0.5,4.8,0,0,4.5,71,74,58,70,55,45,42,63,34,31,40,77,78,77,77,79,80,25,51,32,63,60,77,81,52,35,61,23,2,62,1,2005-06,,,2006,0
101181,Jose Calderon,Jose,1610612761,TOR,24.0,64,18,46,0.281,23.2,2.1,4.9,0.423,0.1,0.7,0.163,1.2,1.4,0.848,0.5,1.7,2.2,4.5,1.6,0.7,0.1,0.5,1.5,1.5,5.5,-1.7,15.4,2,0,13.7,22,36,11,76,9,25,23,39,40,32,48,18,23,14,39,22,25,3,6,11,54,19,37,16,25,66,13,13,2,15,1,2005-06,,,2006,0
2694,Josh Powell,Josh,1610612742,DAL,23.0,37,25,12,0.676,11.6,1.0,2.2,0.457,0.0,0.0,0.0,1.0,1.2,0.8,0.8,1.4,2.2,0.2,0.6,0.2,0.1,0.2,1.4,0.9,3.0,-0.1,6.3,0,0,6.0,38,24,52,12,36,48,56,25,53,61,53,26,30,22,24,34,26,66,45,57,43,44,42,38,43,21,48,23,2,47,1,2005-06,,,2006,0
101125,Julius Hodge,Julius,1610612743,DEN,22.0,14,7,7,0.5,2.4,0.4,0.9,0.385,0.0,0.0,0.0,0.2,0.6,0.375,0.4,0.1,0.5,0.4,0.6,0.1,0.0,0.3,0.5,0.3,0.9,0.1,2.0,0,0,2.1,69,64,65,33,82,78,79,66,53,61,53,69,59,72,54,81,78,46,48,65,63,33,74,77,79,15,80,23,2,80,1,2005-06,,,2006,0
101207,Kevin Burleson,Kevin,1610612766,CHA,27.0,39,12,27,0.308,8.7,0.6,2.3,0.25,0.3,1.4,0.185,0.4,0.4,0.941,0.1,0.6,0.7,1.2,0.6,0.7,0.1,0.2,1.6,0.4,1.8,-0.1,6.0,0,0,5.4,36,50,29,70,49,73,54,78,25,17,47,57,66,6,78,68,72,18,42,10,58,60,29,70,66,20,50,23,2,50,1,2005-06,,,2006,0
101160,Lawrence Roberts,Lawrence,1610612763,MEM,23.0,33,23,10,0.697,5.5,0.6,1.3,0.455,0.0,0.1,0.0,0.3,0.7,0.478,0.8,0.7,1.5,0.2,0.2,0.2,0.1,0.1,0.9,0.5,1.5,0.1,4.3,1,0,3.8,40,27,55,9,72,71,72,26,53,55,53,62,51,70,20,64,48,72,79,49,55,71,62,54,72,16,66,15,2,68,1,2005-06,,,2006,0
